"School","Total_Students","Temp_Housing","Percentage","Shelter","DHS_Shelter","Non_DHS_Shelter","Doubled_Up","Year"
"P.S. 031 Bayside","521",NA,NA,NA,NA,NA,NA,2020
"P.S. 041 Crocheron","480",9,0.019,NA,NA,NA,9,2020
"P.S. 046 Alley Pond","564",20,0.035,NA,NA,NA,20,2020
"J.H.S. 067 Louis Pasteur","1,063",23,0.022,NA,NA,NA,21,2020
"J.H.S. 074 Nathaniel Hawthorne","1,170",18,0.015,NA,NA,NA,18,2020
"P.S. 094 David D. Porter","355",15,0.042,NA,NA,NA,15,2020
"P.S. 098 The Douglaston School","292",NA,NA,NA,NA,NA,NA,2020
"The James J. Ambrose School","818",9,0.011,NA,NA,NA,9,2020
"P.S. 133 Queens","614",19,0.031,NA,NA,NA,19,2020
"M.S. 158 Marie Curie","1,098",35,0.032,NA,NA,NA,31,2020
"P.S. 159","686",37,0.054,NA,NA,NA,35,2020
"P.S. 162 John Golden","663",9,0.014,NA,NA,NA,8,2020
"Irwin Altman Middle School 172","1,031",16,0.016,NA,NA,NA,15,2020
"P.S. 173 Fresh Meadows","984",32,0.033,NA,NA,NA,31,2020
"P.S./ IS 178 Holliswood","581",16,0.028,NA,NA,NA,14,2020
"P.S. 186 Castlewood","383",9,0.023,NA,NA,NA,9,2020
"P.S. 188 Kingsbury","725",10,0.014,NA,NA,NA,10,2020
"P.S. 191 Mayflower","393",38,0.097,NA,NA,NA,38,2020
"P.S. 203 Oakland Gardens","872",NA,NA,NA,NA,NA,NA,2020
"P.S. 205 Alexander Graham Bell","315",8,0.025,NA,NA,NA,8,2020
"P.S. 213 The Carl Ullman School","491",24,0.049,NA,NA,NA,23,2020
"J.H.S. 216 George J. Ryan","1,612",125,0.078,NA,NA,NA,120,2020
"P.S. 221 The North Hills School","654",NA,NA,NA,NA,NA,NA,2020
"P.S./I.S. 266","636",8,0.013,NA,NA,NA,NA,2020
"Business Technology Early College High School","567",32,0.056,6,NA,NA,24,2020
"P.S. 376","250",14,0.056,NA,NA,NA,14,2020
"Benjamin N. Cardozo High School","3,446",108,0.031,19,12,7,83,2020
"Francis Lewis High School","4,526",202,0.045,9,NA,NA,188,2020
"Martin Van Buren High School","1,179",52,0.044,18,NA,NA,32,2020
"Home Schooling","223",NA,NA,NA,NA,NA,NA,2020
"Bayside High School","2,884",137,0.048,6,NA,NA,122,2020
"Queens High School of Teaching, Liberal Arts and t","1,020",30,0.029,NA,NA,NA,25,2020
"Universal Pre-K C.B.O.","1,031",11,0.011,NA,NA,NA,9,2020
"P.S./M.S 042 R. Vernam","650",62,0.095,37,29,8,23,2020
"P.S. 043","862",131,0.152,56,44,12,58,2020
"P.S. 045 Clarence Witherspoon","348",57,0.164,45,38,7,12,2020
"P.S. 047 Chris Galas","258",9,0.035,NA,NA,NA,8,2020
"P.S. 051","224",10,0.045,NA,NA,NA,9,2020
"M.S. 053 Brian Piccolo","185",40,0.216,18,NA,NA,20,2020
"P.S. 056 Harry Eichler","383",26,0.068,NA,NA,NA,21,2020
"P.S. 060 Woodhaven","1,165",52,0.045,7,NA,NA,44,2020
"P. S. 62 - Chester Park School","948",15,0.016,10,NA,NA,NA,2020
"P.S. 063 Old South","1,221",50,0.041,21,NA,NA,26,2020
"P.S. 064 Joseph P. Addabbo","537",11,0.02,NA,NA,NA,6,2020
"P.S. 65 - The Raymond York Elementary School","475",26,0.055,NA,NA,NA,22,2020
"P.S. 066 Jacqueline Kennedy Onassis","511",21,0.041,6,NA,NA,15,2020
"P.S. 090 Horace Mann","772",62,0.08,8,NA,NA,52,2020
"P.S. 096","317",17,0.054,NA,NA,NA,13,2020
"P.S. 097 Forest Park","694",24,0.035,6,NA,NA,18,2020
"P.S. 100 Glen Morris","916",17,0.019,NA,NA,NA,14,2020
"P.S. 104 The Bays Water","665",50,0.075,19,NA,NA,31,2020
"P.S. 105 The Bay School","845",94,0.111,45,32,13,46,2020
"Lighthouse Elementary School","199",31,0.156,15,NA,NA,16,2020
"P.S. 108 Captain Vincent G. Fowler","1,399",60,0.043,15,8,7,45,2020
"P.S./M.S. 114 Belle Harbor","714",7,0.01,NA,NA,NA,7,2020
"P.S. 123","683",56,0.082,30,21,9,25,2020
"P.S. 124 Osmond A Church","1,140",24,0.021,11,NA,NA,13,2020
"M.S. 137 America's School of Heroes","1,982",30,0.015,14,6,8,12,2020
"P.S. 146 Howard Beach","594",18,0.03,NA,NA,NA,16,2020
"P.S. 155","568",22,0.039,NA,NA,NA,16,2020
"P.S. 183 Dr. Richard R. Green","487",44,0.09,18,12,6,25,2020
"P.S. 197 The Ocean School","546",41,0.075,21,NA,NA,19,2020
"J.H.S. 202 Robert H. Goddard","1,116",44,0.039,12,NA,NA,30,2020
"P.S. 207 Rockwood Park","702",NA,NA,NA,NA,NA,NA,2020
"J.H.S. 210 Elizabeth Blackwell","1,861",115,0.062,20,10,10,89,2020
"P.S. 223 Lyndon B. Johnson","558",39,0.07,13,NA,NA,17,2020
"J.H.S. 226 Virgil I. Grissom","962",129,0.134,36,24,12,91,2020
"P.S. 232 Lindenwood","952",21,0.022,11,NA,NA,10,2020
"P.S. 253","597",121,0.203,9,NA,NA,105,2020
"P.S. 254 - The Rosa Parks School","626",22,0.035,NA,NA,NA,21,2020
"Frederick Douglass Academy VI High School","309",39,0.126,16,10,6,15,2020
"Voyages Prep - South Queens","319",22,0.069,7,NA,NA,11,2020
"Channel View School for Research","1,084",32,0.03,13,6,7,17,2020
"P.S. 273","314",NA,NA,NA,NA,NA,NA,2020
"Knowledge and Power Preparatory Academy VI","279",11,0.039,NA,NA,NA,10,2020
"Hawtree Creek Middle School","394",15,0.038,NA,NA,NA,10,2020
"Queens High School for Information, Research, and","498",47,0.094,17,NA,NA,24,2020
"New York City Academy for Discovery","396",16,0.04,6,NA,NA,10,2020
"Robert H. Goddard High School of Communication Art","619",NA,NA,NA,NA,NA,NA,2020
"Academy of Medical Technology: A College Board Sch","696",72,0.103,16,10,6,53,2020
"Epic High School - South","413",16,0.039,6,NA,NA,10,2020
"Queens Explorers Elementary School","471",15,0.032,NA,NA,NA,10,2020
"Waterside Children's Studio School","526",26,0.049,15,NA,NA,6,2020
"Waterside School For Leadership","226",25,0.111,NA,NA,NA,20,2020
"Village Academy","386",53,0.137,23,NA,NA,22,2020
"Scholars' Academy","1,317",NA,NA,NA,NA,NA,NA,2020
"Rockaway Park High School for Environmental Sustai","301",30,0.1,9,NA,NA,20,2020
"Goldie Maple Academy","420",8,0.019,8,NA,NA,NA,2020
"Epic High School - North","460",28,0.061,NA,NA,NA,21,2020
"Curious Young Learners Pre-K Center","829",12,0.014,7,NA,NA,NA,2020
"Rockaway Collegiate High School","351",34,0.097,18,9,9,14,2020
"Wave Preparatory Elementary School","526",92,0.175,33,23,10,55,2020
"P.S. 377","352",19,0.054,13,NA,NA,6,2020
"August Martin High School","400",49,0.123,20,13,7,24,2020
"Home Schooling","490",16,0.033,7,NA,NA,6,2020
"Richmond Hill High School","1,698",108,0.064,15,NA,NA,76,2020
"John Adams High School","2,552",275,0.108,36,27,9,234,2020
"High School for Construction Trades, Engineering a","1,101",NA,NA,NA,NA,NA,NA,2020
"Universal Pre-K C.B.O.","2,190",84,0.038,30,20,10,51,2020
"J.H.S. 008 Richard S. Grossley","462",64,0.139,15,NA,NA,47,2020
"P.S. 040 Samuel Huntington","387",47,0.121,14,8,6,33,2020
"P.S. 048 William Wordsworth","575",112,0.195,24,15,9,76,2020
"P.S. 050 Talfourd Lawn Elementary School","866",76,0.088,25,NA,NA,48,2020
"P.S. 054 Hillside","539",91,0.169,NA,NA,NA,86,2020
"P.S. 055 Maure","519",19,0.037,NA,NA,NA,14,2020
"Catherine & Count Basie Middle School 72","299",46,0.154,17,NA,NA,24,2020
"PS 80  The Thurgood Marshall Magnet School of Mult","486",55,0.113,26,NA,NA,28,2020
"P.S. 082 Hammond","618",61,0.099,21,NA,NA,37,2020
"P.S. Q086","783",79,0.101,7,NA,NA,72,2020
"P.S. 099 Kew Gardens","751",68,0.091,11,NA,NA,57,2020
"P.S. 101 School in the Gardens","690",NA,NA,NA,NA,NA,NA,2020
"P.S. 117 J. Keld / Briarwood School","953",77,0.081,56,NA,NA,20,2020
"P.S. 121 Queens","843",22,0.026,7,NA,NA,13,2020
"P.S. 139 Rego Park","742",31,0.042,NA,NA,NA,28,2020
"P.S. 140 Edward K Ellington","434",45,0.104,17,NA,NA,28,2020
"P.S. 144 Col Jeromus Remsen","949",15,0.016,NA,NA,NA,13,2020
"J.H.S. 157 Stephen A. Halsey","1,714",73,0.043,17,9,8,56,2020
"P.S. 160 Walter Francis Bishop","647",87,0.134,35,27,8,50,2020
"P.S. 161 Arthur Ashe School","622",15,0.024,NA,NA,NA,10,2020
"Metropolitan Expeditionary Learning School","833",38,0.046,NA,NA,NA,32,2020
"P.S. 174 William Sidney Mount","684",13,0.019,NA,NA,NA,13,2020
"P.S. 175 The Lynn Gross Discovery School","829",20,0.024,NA,NA,NA,17,2020
"P.S. 182 Samantha Smith","696",107,0.154,18,NA,NA,89,2020
"J.H.S. 190 Russell Sage","1,147",37,0.032,7,NA,NA,27,2020
"P.S. 196 Grand Central Parkway","1,088",6,0.006,NA,NA,NA,6,2020
"P.S. 206 The Horace Harding School","605",16,0.026,8,NA,NA,8,2020
"J.H.S. 217 Robert A. Van Wyck","1,751",224,0.128,40,32,8,179,2020
"P.S. 220 Edward Mandel","714",41,0.057,NA,NA,NA,39,2020
"York Early College Academy","641",29,0.045,12,NA,NA,16,2020
"The Emerson School","380",74,0.195,12,NA,NA,59,2020
"The Academy for Excellence through the Arts","281",NA,NA,NA,NA,NA,NA,2020
"Queens Collegiate: A College Board School","692",45,0.065,10,NA,NA,31,2020
"Jamaica Children's School","235",27,0.115,14,7,7,7,2020
"Hillside Arts & Letters Academy","458",35,0.076,13,7,6,22,2020
"High School for Community Leadership","468",30,0.064,NA,NA,NA,25,2020
"Redwood Middle School","277",20,0.072,NA,NA,NA,15,2020
"The Ezra Jack Keats Pre-K Center","261",27,0.103,6,NA,NA,21,2020
"Queens Satellite High School for Opportunity","246",13,0.053,6,NA,NA,NA,2020
"The Queens School for Leadership and Excellence","529",66,0.125,18,NA,NA,46,2020
"Jamaica Gateway to the Sciences","508",30,0.059,6,NA,NA,22,2020
"The Jermaine L. Green STEM Institute of Queens","549",59,0.107,14,7,7,42,2020
"M.S. 358","363",41,0.113,7,NA,NA,34,2020
"Forest Hills High School","3,809",161,0.042,20,11,9,135,2020
"Home Schooling","445",11,0.025,NA,NA,NA,9,2020
"Hillcrest High School","3,134",215,0.069,38,29,9,175,2020
"Thomas A. Edison Career and Technical Education Hi","2,242",70,0.031,10,NA,NA,57,2020
"Queens Gateway to Health Sciences Secondary School","692",29,0.042,NA,NA,NA,28,2020
"Queens Metropolitan High School","1,145",28,0.024,NA,NA,NA,24,2020
"Queens High School for the Sciences at York Colleg","480",11,0.023,NA,NA,NA,9,2020
"High School for Law Enforcement and Public Safety","376",22,0.059,10,NA,NA,10,2020
"Universal Pre-K C.B.O.","2,480",106,0.043,42,26,16,58,2020
"Young Women's Leadership School, Queens","574",13,0.023,6,NA,NA,7,2020
"P.S. 015 Jackie Robinson","412",46,0.112,13,NA,NA,32,2020
"P.S. 033 Edward M. Funk","980",31,0.032,NA,NA,NA,26,2020
"P.S. 034 John Harvard","595",68,0.114,12,NA,NA,55,2020
"P.S. 035 Nathaniel Woodhull","713",58,0.081,15,NA,NA,42,2020
"P.S. 036 Saint Albans School","378",58,0.153,11,NA,NA,46,2020
"Cynthia Jenkins School","365",76,0.208,24,15,9,45,2020
"P.S. 038 Rosedale","280",21,0.075,NA,NA,NA,11,2020
"P.S. 052 Queens","394",133,0.338,112,99,13,20,2020
"I.S. 059 Springfield Gardens","615",58,0.094,15,NA,NA,37,2020
"P.S. 095 Eastwood","1,483",236,0.159,63,57,6,171,2020
"Jean Nuzzi Intermediate School","1,195",85,0.071,22,16,6,58,2020
"P.S./I.S. 116 William C. Hughley","849",123,0.145,65,NA,NA,56,2020
"P.S. 118 Lorraine Hansberry","457",47,0.103,22,NA,NA,23,2020
"P.S. 131 Abigail Adams","728",90,0.124,NA,NA,NA,88,2020
"P.S. 132 Ralph Bunche","350",29,0.083,NA,NA,NA,24,2020
"P.S. 134 Hollis","333",31,0.093,21,NA,NA,NA,2020
"The Bellaire School","916",60,0.066,31,NA,NA,28,2020
"P.S. 136 Roy Wilkins","534",53,0.099,32,20,12,18,2020
"P.S./M.S. 138 Sunrise","662",47,0.071,9,NA,NA,36,2020
"P.S./M.S. 147 Ronald McNair","580",49,0.084,15,7,8,26,2020
"P.S. 156 Laurelton","213",22,0.103,10,NA,NA,9,2020
"P.S. 176 Cambria Heights","738",8,0.011,NA,NA,NA,NA,2020
"P.S. 181 Brookfield","345",25,0.072,14,NA,NA,9,2020
"I.S. 192 The Linden","498",64,0.129,20,NA,NA,38,2020
"P.S. 195 William Haberle","493",44,0.089,16,NA,NA,21,2020
"P.S./I.S. 208","751",20,0.027,NA,NA,NA,15,2020
"I.S. 238 - Susan B. Anthony Academy","1,297",219,0.169,53,41,12,164,2020
"Institute for Health Professions at Cambria Height","458",37,0.081,NA,NA,NA,29,2020
"Queens Preparatory Academy","284",31,0.109,6,NA,NA,22,2020
"P.S. 251 Queens","347",47,0.135,15,NA,NA,26,2020
"Pathways College Preparatory School: A College Boa","587",44,0.075,15,9,6,22,2020
"Excelsior Preparatory High School","436",33,0.076,13,6,7,17,2020
"P.S./I.S. 268","655",46,0.07,12,NA,NA,28,2020
"The Gordon Parks School","760",22,0.029,9,NA,NA,13,2020
"George Washington Carver High School for the Scien","399",30,0.075,12,6,6,17,2020
"Preparatory Academy for Writers: A College Board S","566",41,0.072,11,NA,NA,27,2020
"Queens United Middle School","177",15,0.085,6,NA,NA,7,2020
"P.S./I.S. 295","550",59,0.107,8,NA,NA,51,2020
"Benjamin Franklin High School for Finance & Inform","414",39,0.094,7,NA,NA,29,2020
"Cambria Heights Academy","380",32,0.084,6,NA,NA,21,2020
"Eagle Academy for Young Men III","424",37,0.087,13,NA,NA,19,2020
"Collaborative Arts Middle School","348",48,0.138,17,NA,NA,28,2020
"Community Voices Middle School","353",71,0.201,29,19,10,39,2020
"P.S. 360","283",18,0.064,NA,NA,NA,13,2020
"District 29 Pre-K Center","230",21,0.091,NA,NA,NA,16,2020
"Home Schooling","366",14,0.038,7,NA,NA,6,2020
"Mathematics, Science Research and Technology Magne","418",36,0.086,NA,NA,NA,29,2020
"Humanities & Arts Magnet High School","365",30,0.082,10,NA,NA,20,2020
"Universal Pre-K C.B.O.","1,440",71,0.049,32,NA,NA,36,2020
"P.S. 002 Alfred Zimberg","541",37,0.068,33,NA,NA,NA,2020
"I.S. 010 Horace Greeley","808",42,0.052,6,NA,NA,35,2020
"P.S. 011 Kathryn Phelan","941",80,0.085,13,NA,NA,67,2020
"P.S. 017 Henry David Thoreau","599",69,0.115,7,NA,NA,62,2020
"P.S. 069 Jackson Heights","982",19,0.019,NA,NA,NA,17,2020
"P.S. 070","833",21,0.025,NA,NA,NA,17,2020
"P.S. 076 William Hallet","428",27,0.063,12,NA,NA,15,2020
"P.S./I.S. 78Q","767",8,0.01,NA,NA,NA,NA,2020
"P.S. 084 Steinway","274",14,0.051,NA,NA,NA,10,2020
"P.S. 085 Judge Charles Vallone","666",21,0.032,NA,NA,NA,17,2020
"P.S. 092 Harry T. Stewart Sr.","908",8,0.009,6,NA,NA,NA,2020
"P.S. 111 Jacob Blackwell","354",85,0.24,59,40,19,23,2020
"P.S. 112 Dutch Kills","431",48,0.111,7,NA,NA,41,2020
"P.S. 122 Mamie Fay","1,379",32,0.023,NA,NA,NA,29,2020
"Albert Shanker School for Visual and Performing Ar","643",41,0.064,7,NA,NA,30,2020
"P.S. 127 Aerospace Science Magnet School","1,233",82,0.067,32,NA,NA,50,2020
"I.S. 141 The Steinway","1,204",68,0.056,16,NA,NA,50,2020
"I.S. 145 Joseph Pulitzer","1,685",143,0.085,7,NA,NA,136,2020
"P.S. 148 Queens","788",98,0.124,NA,NA,NA,94,2020
"P.S. 149 Christa McAuliffe","945",154,0.163,NA,NA,NA,149,2020
"P.S. 150 Queens","1,026",66,0.064,NA,NA,NA,61,2020
"P.S. 151 Mary D. Carter","323",51,0.158,14,NA,NA,37,2020
"P.S. 152 Gwendoline N. Alleyne School","956",212,0.222,NA,NA,NA,211,2020
"P.S. 166 Henry Gradstein","961",42,0.044,8,NA,NA,34,2020
"P.S. 171 Peter G. Van Alst","444",60,0.135,12,NA,NA,43,2020
"I.S. 204 Oliver W. Holmes","447",55,0.123,15,8,7,37,2020
"P.S. 212","776",NA,NA,NA,NA,NA,NA,2020
"P.S. Q222 - Fire Fighter Christopher A. Santora Sc","279",16,0.057,NA,NA,NA,14,2020
"I.S. 227 Louis Armstrong","1,578",77,0.049,8,NA,NA,68,2020
"The Ivan Lafayette Early Childhood School of the A","293",36,0.123,NA,NA,NA,35,2020
"I.S. 230","1,214",85,0.07,NA,NA,NA,80,2020
"P.S. 234","462",16,0.035,NA,NA,NA,15,2020
"Academy for New Americans","115",59,0.513,NA,NA,NA,57,2020
"Energy Tech High School","527",17,0.032,NA,NA,NA,16,2020
"P.S. 280","596",40,0.067,NA,NA,NA,38,2020
"Young Women's Leadership School, Astoria","579",7,0.012,NA,NA,NA,7,2020
"Hunters Point Community Middle School","426",22,0.052,NA,NA,NA,18,2020
"The 30th Avenue School (G&T Citywide)","561",NA,NA,NA,NA,NA,NA,2020
"Academy for Careers in Television and Film","554",22,0.04,NA,NA,NA,17,2020
"East Elmhurst Community School","453",89,0.196,NA,NA,NA,82,2020
"The Woodside Community School","424",44,0.104,NA,NA,NA,44,2020
"P.S. 384","109",NA,NA,NA,NA,NA,NA,2020
"District 30 Pre-K Center","282",24,0.085,13,NA,NA,11,2020
"P.S. 398","131",13,0.099,NA,NA,NA,12,2020
"Home Schooling","449",6,0.013,NA,NA,NA,6,2020
"William Cullen Bryant High School","2,342",184,0.079,39,32,7,140,2020
"Long Island City High School","2,203",155,0.07,58,38,20,92,2020
"Frank Sinatra School of the Arts High School","858",13,0.015,NA,NA,NA,9,2020
"Information Technology High School","960",83,0.086,10,NA,NA,73,2020
"Newcomers High School","898",173,0.193,NA,NA,NA,170,2020
"Academy of American Studies","1,024",9,0.009,NA,NA,NA,7,2020
"Baccalaureate School for Global Education","561",NA,NA,NA,NA,NA,NA,2020
"Universal Pre-K C.B.O.","1,856",81,0.044,NA,NA,NA,75,2020
"P.S. 001 Tottenville","438",8,0.018,NA,NA,NA,8,2020
"I.S. R002 George L. Egbert","1,076",31,0.029,6,NA,NA,23,2020
"P.S. 003 The Margaret Gioiosa School","676",NA,NA,NA,NA,NA,NA,2020
"P.S. 004 Maurice Wollin","769",16,0.021,NA,NA,NA,14,2020
"P.S. 005 Huguenot","319",8,0.025,NA,NA,NA,8,2020
"P.S. 6 Corporal Allan F. Kivlehan School","539",10,0.019,NA,NA,NA,8,2020
"I.S. 007 Elias Bernstein","1,187",14,0.012,NA,NA,NA,14,2020
"P.S. 8 Shirlee Solomon","598",8,0.013,NA,NA,NA,7,2020
"Naples Street Elementary School","321",7,0.022,NA,NA,NA,6,2020
"Fort Hill Collaborative Elementary School","202",38,0.188,11,NA,NA,26,2020
"P.S. 11 Thomas Dongan School","340",14,0.041,NA,NA,NA,8,2020
"P.S. 013 M. L. Lindemeyer","865",44,0.051,6,NA,NA,34,2020
"P.S. 016 John J. Driscoll","466",74,0.159,33,27,6,39,2020
"P.S. 018 John G. Whittier","496",87,0.175,21,14,7,61,2020
"P.S. 019 The Curtis School","571",20,0.035,9,NA,NA,11,2020
"P.S. 020 Port Richmond","433",30,0.069,14,NA,NA,16,2020
"P.S. 21 Margaret Emery-Elm Park","403",30,0.074,19,NA,NA,10,2020
"P.S. 022 Graniteville","944",99,0.105,14,6,8,75,2020
"P.S. 023 Richmondtown","573",18,0.031,NA,NA,NA,17,2020
"I.S. 024 Myra S. Barnes","1,401",53,0.038,NA,NA,NA,48,2020
"P.S. 026 The Carteret School","297",NA,NA,NA,NA,NA,NA,2020
"I.S. 027 Anning S. Prall","1,072",59,0.055,16,8,8,39,2020
"The Eagle Academy for Young Men of Staten Island","301",21,0.07,9,NA,NA,10,2020
"P.S. 029 Bardwell","647",25,0.039,10,NA,NA,15,2020
"P.S. 030 Westerleigh","830",18,0.022,NA,NA,NA,18,2020
"P.S. 031 William T. Davis","412",43,0.104,26,20,6,13,2020
"P.S. 032 The Gifford School","681",NA,NA,NA,NA,NA,NA,2020
"I.S. 034 Tottenville","1,044",10,0.01,NA,NA,NA,8,2020
"P.S. 35 The Clove Valley School","427",NA,NA,NA,NA,NA,NA,2020
"P.S. 036 J. C. Drumgoole","894",NA,NA,NA,NA,NA,NA,2020
"P.S. 038 George Cromwell","404",12,0.03,NA,NA,NA,12,2020
"P.S. 39 Francis J. Murphy Jr.","527",32,0.061,NA,NA,NA,25,2020
"The Stephanie A. Vierno School","707",20,0.028,7,NA,NA,10,2020
"P.S. 042 Eltingville","1,104",20,0.018,NA,NA,NA,19,2020
"P.S. 044 Thomas C. Brown","739",67,0.091,37,27,10,25,2020
"P.S. 045 John Tyler","860",45,0.052,20,14,6,25,2020
"P.S. 046 Albert V. Maniscalco","260",12,0.046,9,NA,NA,NA,2020
"CSI High School for International Studies","488",NA,NA,NA,NA,NA,NA,2020
"P.S. 048 William G. Wilcox","1,014",14,0.014,NA,NA,NA,11,2020
"I.S. 49 Berta A. Dreyfus","571",57,0.1,18,10,8,32,2020
"P.S. 050 Frank Hankinson","744",NA,NA,NA,NA,NA,NA,2020
"I.S. 051 Edwin Markham","1,346",97,0.072,41,24,17,53,2020
"P.S. 052 John C. Thompson","602",28,0.047,NA,NA,NA,25,2020
"The Barbara Esselborn School","874",18,0.021,NA,NA,NA,17,2020
"P.S. 054 Charles W. Leng","826",7,0.008,NA,NA,NA,NA,2020
"P.S. 055 Henry M. Boehm","583",NA,NA,NA,NA,NA,NA,2020
"P.S. 56 The Louis Desario School","627",NA,NA,NA,NA,NA,NA,2020
"P.S. 057 Hubert H. Humphrey","665",39,0.059,7,NA,NA,30,2020
"Space Shuttle Columbia School","702",35,0.05,NA,NA,NA,34,2020
"The Harbor View School","303",26,0.086,NA,NA,NA,23,2020
"P.S. 060 Alice Austen","844",11,0.013,NA,NA,NA,10,2020
"I.S. 061 William A Morris","995",59,0.059,33,24,9,25,2020
"The Kathleen Grimm School for Leadership and Susta","383",8,0.021,NA,NA,NA,8,2020
"Marsh Avenue School for Expeditionary Learning","454",6,0.013,NA,NA,NA,NA,2020
"Gaynor McCown Expeditionary Learning School","427",13,0.03,NA,NA,NA,11,2020
"P.S. 65 The Academy of Innovative Learning","436",19,0.044,NA,NA,NA,10,2020
"The Richmond Pre-K Center","716",17,0.024,NA,NA,NA,12,2020
"Port Richmond School for Visionary Learning","300",36,0.12,NA,NA,NA,32,2020
"P.S. 069 Daniel D. Tompkins","913",6,0.007,NA,NA,NA,NA,2020
"I.S. 072 Rocco Laurie","1,616",27,0.017,NA,NA,NA,21,2020
"P.S. 74 Future Leaders Elementary School","288",51,0.177,29,15,14,21,2020
"I.S. 075 Frank D. Paulo","1,465",19,0.013,NA,NA,NA,15,2020
"P.S. 78","728",79,0.109,47,30,17,23,2020
"The Michael J. Petrides School","1,332",19,0.014,NA,NA,NA,15,2020
"New Dorp High School","3,124",110,0.035,15,NA,NA,85,2020
"Home Schooling","798",18,0.023,6,NA,NA,9,2020
"Port Richmond High School","1,607",120,0.075,40,16,24,70,2020
"Curtis High School","2,462",155,0.063,48,27,21,91,2020
"Tottenville High School","3,736",86,0.023,NA,NA,NA,78,2020
"Susan E. Wagner High School","3,418",91,0.027,19,8,11,63,2020
"Concord High School","199",17,0.085,NA,NA,NA,11,2020
"Ralph R. McKee Career and Technical Education High","825",23,0.028,11,NA,NA,6,2020
"Staten Island Technical High School","1,336",NA,NA,NA,NA,NA,NA,2020
"Universal Pre-K C.B.O.","3,478",36,0.01,9,NA,NA,22,2020
"Staten Island School of Civic Leadership","901",61,0.068,11,NA,NA,46,2020
"P.S./I.S. 045 Horace E. Greene","621",92,0.148,62,53,9,28,2020
"P.S. 075 Mayda Cortiella","288",42,0.146,NA,NA,NA,37,2020
"P.S. 086 The Irvington","424",96,0.226,NA,NA,NA,94,2020
"P.S. 106 Edward Everett Hale","413",59,0.143,15,9,6,37,2020
"P.S. 116 Elizabeth L Farrell","351",83,0.236,6,NA,NA,77,2020
"P.S. 123 Suydam","622",83,0.133,38,NA,NA,44,2020
"P.S. 145 Andrew Jackson","513",153,0.298,42,31,11,110,2020
"P.S. 151 Lyndon B. Johnson","337",119,0.353,12,NA,NA,101,2020
"J.H.S. 162 The Willoughby","326",69,0.212,17,NA,NA,49,2020
